2019-01-01,317627
2019-01-02,461614
2019-01-03,236933
2019-01-04,113517
2019-01-05,419972
2019-01-06,203338
2019-01-07,188490
2019-01-08,104548
2019-01-09,104160
2019-01-10,332308
2019-01-11,288438
2019-01-12,52030
2019-01-13,158131
2019-01-14,262054
2019-01-15,362721
2019-01-16,169472
2019-01-17,473092
2019-01-18,353588
2019-01-19,193343
2019-01-20,66227
2019-01-21,181618
2019-01-22,169439
2019-01-23,437519
2019-01-24,488805
2019-01-25,228112
2019-01-26,426570
2019-01-27,458868
2019-01-28,147973
2019-01-29,94329
2019-01-30,299788
2019-01-31,191185
2019-02-01,284401
2019-02-02,56788
2019-02-03,157231
2019-02-04,77390
2019-02-05,268382
2019-02-06,204463
2019-02-07,399817
2019-02-08,471187
2019-02-09,206707
2019-02-10,259287
2019-02-11,475380
2019-02-12,375177
2019-02-13,380248
2019-02-14,395120
2019-02-15,206482
2019-02-16,495148
2019-02-17,288262
2019-02-18,63542
2019-02-19,155824
2019-02-20,191080
2019-02-21,300885
2019-02-22,108142
2019-02-23,211088
2019-02-24,238322
2019-02-25,419817
2019-02-26,140239
2019-02-27,368867
2019-02-28,339688
2019-03-01,148955
2019-03-02,425432
2019-03-03,410008
2019-03-04,223826
2019-03-05,424022
2019-03-06,146304
2019-03-07,240791
2019-03-08,491560
2019-03-09,94699
2019-03-10,384078
2019-03-11,283111
2019-03-12,195703
2019-03-13,450791
2019-03-14,197381
2019-03-15,347442
2019-03-16,93896
2019-03-17,428351
2019-03-18,462652
2019-03-19,63610
2019-03-20,173482
2019-03-21,72611
2019-03-22,307272
2019-03-23,355537
2019-03-24,383404
2019-03-25,495162
2019-03-26,293273
2019-03-27,111555
2019-03-28,133974
2019-03-29,457653
2019-03-30,297821
2019-03-31,323664
2019-04-01,407942
2019-04-02,295536
2019-04-03,99485
2019-04-04,234951
2019-04-05,455527
2019-04-06,497507
2019-04-07,415535
2019-04-08,91196
2019-04-09,54136
2019-04-10,167011
2019-04-11,422505
2019-04-12,306228
2019-04-13,399827
2019-04-14,187620
2019-04-15,123061
2019-04-16,369118
2019-04-17,200840
2019-04-18,479146
2019-04-19,207734
2019-04-20,82356
2019-04-21,474705
2019-04-22,152204
2019-04-23,466608
2019-04-24,211964
2019-04-25,465185
2019-04-26,332799
2019-04-27,227973
2019-04-28,214234
2019-04-29,185637
2019-04-30,434889
2019-05-01,160842
2019-05-02,67945
2019-05-03,329210
2019-05-04,414279
2019-05-05,365819
2019-05-06,382409
2019-05-07,380141
2019-05-08,180594
2019-05-09,294186
2019-05-10,237937
2019-05-11,68974
2019-05-12,167153
2019-05-13,74793
2019-05-14,95629
2019-05-15,467908
2019-05-16,123163
2019-05-17,51624
2019-05-18,476508
2019-05-19,379936
2019-05-20,67051
2019-05-21,488784
2019-05-22,381402
2019-05-23,92371
2019-05-24,57007
2019-05-25,327925
2019-05-26,162724
2019-05-27,380653
2019-05-28,198558
2019-05-29,349955
2019-05-30,251093
2019-05-31,315305
2019-06-01,292110
2019-06-02,188363
2019-06-03,275511
2019-06-04,280400
2019-06-05,371632
2019-06-06,440669
2019-06-07,190267
2019-06-08,122721
2019-06-09,381479
2019-06-10,147974
2019-06-11,313932
2019-06-12,240338
2019-06-13,425400
2019-06-14,393357
2019-06-15,364166
2019-06-16,96147
2019-06-17,110142
2019-06-18,140932
2019-06-19,152571
2019-06-20,234735
2019-06-21,55956
2019-06-22,115161
2019-06-23,466942
2019-06-24,385685
